Ministry,Revenue_Cr,Capital_Cr,Total_Cr,Year,Grand_Total_Cr,Share_of_Budget_Pct
Housing & Urban Affairs,50714.32,34808.07,85522.39,2026-27,5347314.81,1.6
Information & Broadcasting,4379.9,29.1,4409.0,2017-18,2146734.78,0.21
Information & Broadcasting,4065.58,23.4,4088.98,2018-19,2442213.3,0.17
Information & Broadcasting,4361.67,13.54,4375.21,2019-20,2786349.45,0.16
Information & Broadcasting,4361.65,13.56,4375.21,2020-21,3042230.09,0.14
Information & Broadcasting,4058.61,12.62,4071.23,2021-22,3483235.63,0.12
Information & Broadcasting,3955.12,25.65,3980.77,2022-23,3944908.67,0.1
Information & Broadcasting,4661.16,30.84,4692.0,2023-24,4503097.45,0.1
Information & Broadcasting,4303.71,38.84,4342.55,2024-25,4820512.08,0.09
Information & Broadcasting,4314.59,43.79,4358.38,2025-26,5065345.04,0.09
Information & Broadcasting,4494.56,57.38,4551.94,2026-27,5347314.81,0.09
Jal Shakti/Water Resources,6102.51,784.49,6887.0,2017-18,2146734.78,0.32
Jal Shakti/Water Resources,8152.14,707.86,8860.0,2018-19,2442213.3,0.36
Jal Shakti/Water Resources,27870.12,391.47,28261.59,2019-20,2786349.45,1.01
Jal Shakti/Water Resources,30092.47,386.02,30478.49,2020-21,3042230.09,1.0
Jal Shakti/Water Resources,68731.25,321.77,69053.02,2021-22,3483235.63,1.98
Jal Shakti/Water Resources,85769.17,419.83,86189.0,2022-23,3944908.67,2.18
Jal Shakti/Water Resources,96915.99,361.68,97277.67,2023-24,4503097.45,2.16
Jal Shakti/Water Resources,98310.33,403.45,98713.78,2024-25,4820512.08,2.05
Jal Shakti/Water Resources,98945.31,557.54,99502.85,2025-26,5065345.04,1.96
Jal Shakti/Water Resources,94330.98,476.86,94807.84,2026-27,5347314.81,1.77
Labour & Employment,7165.53,22.85,7188.38,2017-18,2146734.78,0.33
Labour & Employment,7677.75,22.25,7700.0,2018-19,2442213.3,0.32
Labour & Employment,11151.65,32.44,11184.09,2019-20,2786349.45,0.4
Labour & Employment,12021.49,44.0,12065.49,2020-21,3042230.09,0.4
Labour & Employment,13269.37,37.13,13306.5,2021-22,3483235.63,0.38
Labour & Employment,16846.37,47.31,16893.68,2022-23,3944908.67,0.43
Labour & Employment,13183.86,37.87,13221.73,2023-24,4503097.45,0.29
Labour & Employment,22481.88,49.59,22531.47,2024-25,4820512.08,0.47
Labour & Employment,32606.92,39.27,32646.19,2025-26,5065345.04,0.64
Labour & Employment,32625.33,40.98,32666.31,2026-27,5347314.81,0.61
Law & Justice,3432.39,1104.27,4536.66,2017-18,2146734.78,0.21
Law & Justice,3086.05,1819.3,4905.35,2018-19,2442213.3,0.2
Law & Justice,3451.25,160.0,3611.25,2019-20,2786349.45,0.13
Law & Justice,2577.61,201.0,2778.61,2020-21,3042230.09,0.09
Law & Justice,2122.94,1107.0,3229.94,2021-22,3483235.63,0.09
Law & Justice,2432.94,1622.0,4054.94,2022-23,3944908.67,0.1
Law & Justice,2749.8,2002.78,4752.58,2023-24,4503097.45,0.11
Law & Justice,6536.39,251.94,6788.33,2024-25,4820512.08,0.14
Law & Justice,5600.78,249.59,5850.37,2025-26,5065345.04,0.12
Law & Justice,5193.47,319.92,5513.39,2026-27,5347314.81,0.1
MSME,6471.36,10.6,6481.96,2017-18,2146734.78,0.3
MSME,6540.04,12.57,6552.61,2018-19,2442213.3,0.27
MSME,6984.27,27.02,7011.29,2019-20,2786349.45,0.25
MSME,7513.2,59.0,7572.2,2020-21,3042230.09,0.25
MSME,15329.65,370.0,15699.65,2021-22,3483235.63,0.45
MSME,20916.0,506.0,21422.0,2022-23,3944908.67,0.54
MSME,21543.43,594.52,22137.95,2023-24,4503097.45,0.49
MSME,21549.87,588.08,22137.95,2024-25,4820512.08,0.46
MSME,22452.42,715.73,23168.15,2025-26,5065345.04,0.46
MSME,22647.26,1919.01,24566.27,2026-27,5347314.81,0.46
Mines,1054.65,158.84,1213.49,2017-18,2146734.78,0.06
Mines,1499.3,170.22,1669.52,2018-19,2442213.3,0.07
Mines,1567.98,107.57,1675.55,2019-20,2786349.45,0.06
Mines,1587.04,114.36,1701.4,2020-21,3042230.09,0.06
Mines,1398.49,68.33,1466.82,2021-22,3483235.63,0.04
Mines,1446.79,61.21,1508.0,2022-23,3944908.67,0.04
Mines,1834.48,77.12,1911.6,2023-24,4503097.45,0.04
Mines,1895.14,45.92,1941.06,2024-25,4820512.08,0.04
Mines,2958.91,79.09,3038.0,2025-26,5065345.04,0.06
Mines,3642.8,163.65,3806.45,2026-27,5347314.81,0.07
Minority Affairs,4025.48,170.0,4195.48,2017-18,2146734.78,0.2
Minority Affairs,4534.96,165.04,4700.0,2018-19,2442213.3,0.19
Minority Affairs,4599.98,100.02,4700.0,2019-20,2786349.45,0.17
Minority Affairs,4868.98,160.02,5029.0,2020-21,3042230.09,0.17
Minority Affairs,4657.75,153.02,4810.77,2021-22,3483235.63,0.14
Minority Affairs,4861.5,159.0,5020.5,2022-23,3944908.67,0.13
Minority Affairs,3032.6,65.0,3097.6,2023-24,4503097.45,0.07
Minority Affairs,3179.49,3.75,3183.24,2024-25,4820512.08,0.07
Minority Affairs,3346.28,3.72,3350.0,2025-26,5065345.04,0.07
Minority Affairs,3395.62,4.38,3400.0,2026-27,5347314.81,0.06
